date,action,price,shares,cash,position_value,total_value,prediction,probability_up
2024-10-10,空仓,132330.0,0.0,10000.0,0.0,10000.0,跌,0.35542646050453186
2024-10-11,空仓,134450.0,0.0,10000.0,0.0,10000.0,跌,0.21781060099601746
2024-10-14,空仓,134610.0,0.0,10000.0,0.0,10000.0,跌,0.1559305340051651
2024-10-15,空仓,132680.0,0.0,10000.0,0.0,10000.0,跌,0.22739756107330322
2024-10-16,空仓,132550.0,0.0,10000.0,0.0,10000.0,跌,0.45232465863227844
2024-10-17,买入,133050.0,0.0751597143930853,0.0,9661.781285231116,9661.781285231116,涨,0.8184434175491333
2024-10-18,持有,128750.0,0.0751597143930853,0.0,9676.813228109733,9676.813228109733,涨,0.8625832200050354
2024-10-21,持有,130720.0,0.0751597143930853,0.0,9824.87786546411,9824.87786546411,涨,0.8123891949653625
2024-10-22,持有,127310.0,0.0751597143930853,0.0,9568.58323938369,9568.58323938369,涨,0.798488438129425
2024-10-23,持有,126000.0,0.0751597143930853,0.0,9470.124013528748,9470.124013528748,涨,0.7706362009048462
2024-10-24,持有,126410.0,0.0751597143930853,0.0,9500.939496429914,9500.939496429914,涨,0.7026590704917908
2024-10-25,持有,125870.0,0.0751597143930853,0.0,9460.353250657647,9460.353250657647,涨,0.6410579085350037
2024-10-28,持有,126400.0,0.0751597143930853,0.0,9500.187899285982,9500.187899285982,涨,0.5772238373756409
2024-10-29,持有,123890.0,0.0751597143930853,0.0,9311.537016159338,9311.537016159338,涨,0.5635779500007629
2024-10-30,持有,124690.0,0.0751597143930853,0.0,9371.664787673806,9371.664787673806,涨,0.5337682366371155
2024-10-31,持有,123840.0,0.0751597143930853,0.0,9307.779030439684,9307.779030439684,涨,0.5223658084869385
2024-11-01,持有,124050.0,0.0751597143930853,0.0,9323.562570462233,9323.562570462233,涨,0.5106423497200012
2024-11-04,持有,124720.0,0.0751597143930853,0.0,9373.919579105599,9373.919579105599,涨,0.5000265836715698
2024-11-05,卖出,124210.0,0.0,9335.588124765125,0.0,9335.588124765125,跌,0.49562931060791016
2024-11-06,空仓,124460.0,0.0,9335.588124765125,0.0,9335.588124765125,跌,0.49140775203704834
2024-11-07,空仓,127260.0,0.0,9335.588124765125,0.0,9335.588124765125,跌,0.4909190535545349
2024-11-08,买入,127960.0,0.07295708131263774,0.0,9453.778596491598,9453.778596491598,涨,0.5039536952972412
2024-11-11,持有,128040.0,0.07295708131263774,0.0,9341.424691270136,9341.424691270136,涨,0.5058192014694214
2024-11-12,持有,126760.0,0.07295708131263774,0.0,9248.03962718996,9248.03962718996,涨,0.5088740587234497
2024-11-13,持有,125870.0,0.07295708131263774,0.0,9183.107824821713,9183.107824821713,涨,0.5137832760810852
2024-11-14,持有,124880.0,0.07295708131263774,0.0,9110.880314322201,9110.880314322201,涨,0.5299366116523743
2024-11-15,持有,123140.0,0.07295708131263774,0.0,8983.93499283821,8983.93499283821,涨,0.5669971108436584
2024-11-18,持有,124710.0,0.07295708131263774,0.0,9098.477610499052,9098.477610499052,涨,0.5276073217391968
2024-11-19,卖出,124350.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4932359457015991
2024-11-20,空仓,126760.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4846563935279846
2024-11-21,空仓,127760.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4878656268119812
2024-11-22,空仓,125090.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.48358115553855896
2024-11-25,空仓,126950.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4799809753894806
2024-11-26,空仓,127510.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4804203510284424
2024-11-27,空仓,126520.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4783671498298645
2024-11-28,空仓,127000.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4771498739719391
2024-11-29,空仓,126010.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4766448438167572
2024-12-02,空仓,125690.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.47808822989463806
2024-12-03,空仓,126010.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4788874387741089
2024-12-04,空仓,127890.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.48131343722343445
2024-12-05,空仓,125070.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4774567484855652
2024-12-06,空仓,126320.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4764796793460846
2024-12-09,空仓,127000.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4782407283782959
2024-12-10,空仓,126820.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4792333245277405
2024-12-11,空仓,125590.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4778074622154236
2024-12-12,空仓,129610.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4831981062889099
2024-12-13,空仓,129110.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4854279160499573
2024-12-16,空仓,126510.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4828391671180725
2024-12-17,空仓,124200.0,0.0,9072.213061226503,0.0,9072.213061226503,跌,0.4950767159461975
2024-12-18,买入,124570.0,0.07282823361344226,0.0,9006.667650974405,9006.667650974405,涨,0.5157890915870667
2024-12-19,持有,122830.0,0.07282823361344226,0.0,8945.491934739113,8945.491934739113,涨,0.5368991494178772
2024-12-20,持有,122410.0,0.07282823361344226,0.0,8914.904076621468,8914.904076621468,涨,0.5449553728103638
2024-12-23,卖出,122360.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.49073725938796997
2024-12-24,空仓,125100.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.48429161310195923
2024-12-25,空仓,125330.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.4864627718925476
2024-12-26,空仓,126490.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.48825666308403015
2024-12-27,空仓,124800.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.4847251772880554
2024-12-30,空仓,124820.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.480868399143219
2024-12-31,空仓,124750.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.4787019193172455
2025-01-02,空仓,123820.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.4783516526222229
2025-01-03,空仓,122640.0,0.0,8911.262664940796,0.0,8911.262664940796,跌,0.4925517737865448
2025-01-06,买入,122200.0,0.07292358972946641,0.0,8915.638080324565,8915.638080324565,涨,0.5115806460380554
2025-01-07,持有,122720.0,0.07292358972946641,0.0,8949.182931600119,8949.182931600119,涨,0.5059748888015747
2025-01-08,卖出,123320.0,0.0,8992.937085437798,0.0,8992.937085437798,跌,0.4878568649291992
2025-01-09,空仓,125510.0,0.0,8992.937085437798,0.0,8992.937085437798,跌,0.48885640501976013
2025-01-10,空仓,125480.0,0.0,8992.937085437798,0.0,8992.937085437798,跌,0.4885577857494354
